EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
5152976,MIAMI-DADE CO.,MIAMI,07/12/2000,1405,Lightning, , ,0,0,10000,0,FL,EST, ,1097976,C,86,MFL,0,0,NEWSPAPER, , , , , , , ,MIAMI,07/12/2000,1405, , , , 
5152977,MIAMI-DADE CO.,MIAMI BEACH,07/13/2000,532,Waterspout, , ,0,0,0,0,FL,EST, ,1097977,C,86,MFL,0,0,GENERAL PUBLIC, , , ,15,E,15,E,MIAMI BEACH,07/13/2000,532, , , , 
5153058,MIAMI-DADE CO.,HOMESTEAD,07/17/2000,955,Waterspout, , ,0,0,0,0,FL,EST, ,1097978,C,86,MFL,0,0,LAW ENFORCEMENT, , , ,5,SE,5,SE,HOMESTEAD,07/17/2000,955, , , , 
5153062,MIAMI-DADE CO.,KENDALL,07/21/2000,1545,Hail,0.75, ,0,0,0,0,FL,EST, ,1097982,C,86,MFL,0,0,GENERAL PUBLIC, , , , , , , ,KENDALL,07/21/2000,1545,25.68333,-80.31667,25.68333,-80.31667
5153068,MIAMI-DADE CO.,HOMESTEAD,07/22/2000,1900,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1097988,C,86,MFL,0,0,UNKNOWN, , , ,1,W,1,W,HOMESTEAD,07/22/2000,1900, , , , 
5153073,MIAMI-DADE CO.,MIAMI BEACH,07/25/2000,828,Waterspout, , ,0,0,0,0,FL,EST, ,1097993,C,86,MFL,0,0,TRAINED SPOTTER, , , ,5,E,5,E,MIAMI BEACH,07/25/2000,828, , , , 
5151743,MIAMI-DADE CO.,KEY BISCAYNE,07/25/2000,1334,Waterspout, , ,0,0,0,0,FL,EST, ,1097995,C,86,MFL,0,0,AIRPLANE PILOT, , , ,4,S,4,S,KEY BISCAYNE,07/25/2000,1334, , , , 
5163652,MIAMI-DADE CO.,KEY BISCAYNE,08/01/2000,1300,Waterspout, , ,0,0,0,0,FL,EST, ,1099571,C,86,MFL,0,0,GENERAL PUBLIC, , , ,2,S,2,S,KEY BISCAYNE,08/01/2000,1300, , , , 
5163654,MIAMI-DADE CO.,MIAMI INTL,08/01/2000,1530,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1099573,C,86,MFL,0,0,AIRPLANE PILOT, , , ,15,W,15,W,MIAMI INTL,08/01/2000,1530, , , , 
5163656,MIAMI-DADE CO.,KENDALL,08/05/2000,1955,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1099575,C,86,MFL,0,0,GENERAL PUBLIC, , , , , , , ,KENDALL,08/05/2000,1955, , , , 
5162523,MIAMI-DADE CO.,BAL HARBOUR,08/14/2000,1630,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1099578,C,86,MFL,0,0,LAW ENFORCEMENT, , , ,3,N,3,N,BAL HARBOUR,08/14/2000,1630, , , , 
