EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
172319,SANTA CRUZ MOUNTAINS (ZONE), ,05/17/2009,1200,Heat, , ,0,0,0,0,CA,PST-8, ,29355,Z,512,MTR,0,0,Mesonet, , , , , , , , ,05/17/2009,1600, , , , 
198209,SAN FRANCISCO PENINSULA COAST (ZONE), ,09/29/2009,1400,Strong Wind,35.00, ,0,0,20000,0,CA,PST-8,EG,34243,Z,509,MTR,0,0,Newspaper, , , , , , , , ,09/29/2009,1700, , , , 
198210,SAN FRANCISCO BAY SHORELINE (ZONE), ,09/29/2009,1430,Strong Wind,35.00, ,0,0,10000,0,CA,PST-8,EG,34243,Z,508,MTR,0,0,Newspaper, , , , , , , , ,09/29/2009,1630, , , , 
200446,SAN MATEO CO.,MILLBRAE,10/13/2009,700,Heavy Rain, , ,0,0,100000,0,CA,PST-8, ,34569,C,81,MTR,0,0,Newspaper, , , ,0,N,0,N,SAN CARLOS,10/13/2009,900,37.55,-122.38,37.5,-122.28
200442,SAN MATEO CO.,MONTARA,10/13/2009,745,Heavy Rain, , ,0,3,0,0,CA,PST-8, ,34569,C,81,MTR,0,1,Law Enforcement, , , ,2,N,2,N,MONTARA,10/13/2009,815,37.5596,-122.5136,37.5569,-122.5133
199983,SAN FRANCISCO BAY SHORELINE (ZONE), ,10/13/2009,800,High Wind,54.00, ,0,0,2500000,0,CA,PST-8,MG,34569,Z,508,MTR,0,0,ASOS, , , , , , , , ,10/13/2009,1530, , , , 
200438,SANTA CRUZ MOUNTAINS (ZONE), ,10/13/2009,800,High Wind,59.00, ,0,0,10000,0,CA,PST-8,MG,34569,Z,512,MTR,0,0,RAWS, , , , , , , , ,10/13/2009,1400, , , , 
200435,SAN FRANCISCO PENINSULA COAST (ZONE), ,10/13/2009,800,High Wind,54.00, ,0,0,80000,0,CA,PST-8,MG,34569,Z,509,MTR,0,0,RAWS, , , , , , , , ,10/13/2009,1400, , , , 
200444,SANTA CRUZ MOUNTAINS (ZONE), ,10/13/2009,845,Debris Flow, , ,0,0,10000,0,CA,PST-8, ,34569,Z,512,MTR,0,0,Law Enforcement, , , , , , , , ,10/13/2009,910, , , , 
201674,SAN FRANCISCO PENINSULA COAST (ZONE), ,11/27/2009,1625,High Surf, , ,1,0,35000,0,CA,PST-8, ,34956,Z,509,MTR,0,0,Newspaper, , , , , , , , ,11/27/2009,1745, , , , 
